Country,Province,Confirmed,Deaths,Cast_Fatality_Ratio
Afghanistan,,205506,7833,3.811567545473125
Albania,,333305,3594,1.0782916547906571
Algeria,,271050,6881,2.5386460062719056
Andorra,,46824,156,0.33316248077908767
Angola,,104491,1923,1.8403498865931036
Antarctica,,11,0,0.0
Antigua and Barbuda,,9106,146,1.6033384581594552
Argentina,,9723924,130017,1.3370836711599146
Armenia,,445631,8709,1.95430748758502
Australia,Australian Capital Territory,212092,129,0.06082266186371952
Australia,New South Wales,3640480,5540,0.15217773480420163
Australia,Northern Territory,99737,79,0.07920831787601391
Australia,Queensland,1693178,2317,0.1368432616062812
Australia,South Australia,800347,1060,0.13244255304261776
Australia,Tasmania,258301,201,0.07781619118780028
Australia,Victoria,2714014,5999,0.22103791653248656
Australia,Western Australia,1209214,750,0.06202376088930495
Austria,,5535259,21165,0.38236693170093755
Azerbaijan,,824127,9975,1.2103717024196514
Bahamas,,37471,833,2.223052493928638
Bahrain,,695584,1535,0.22067787643189032
Bangladesh,,2036469,29431,1.4451975453591486
Barbados,,103955,564,0.5425424462507816
Belarus,,994037,7118,0.7160699249625517
Belgium,Antwerp,747004,0,0.0
Belgium,Brussels,497917,0,0.0
Belgium,East Flanders,627115,0,0.0
Belgium,Flemish Brabant,453184,0,0.0
Belgium,Hainaut,508999,0,0.0
Belgium,Liege,412869,0,0.0
Belgium,Limburg,342814,0,0.0
Belgium,Luxembourg,121121,0,0.0
Belgium,Namur,199410,0,0.0
Belgium,Unknown,62246,33042,53.08292902355171
Belgium,Walloon Brabant,170564,0,0.0
Belgium,West Flanders,489869,0,0.0
Belize,,69012,688,0.9969280704804961
Benin,,27922,163,0.5837690709834539
Bhutan,,62488,21,0.03360645243886826
Bolivia,,1110413,22244,2.0032186222603663
Bosnia and Herzegovina,,400448,16199,4.045219354323158
Botswana,,326344,2790,0.854926090260584
Brazil,Acre,153137,2029,1.324957391094249
Brazil,Alagoas,323041,7137,2.2093170835900087
Brazil,Amapa,180684,2165,1.1982245245843572
Brazil,Amazonas,622947,14389,2.309827320783309
Brazil,Bahia,1712993,30822,1.7993068272900123
Brazil,Ceara,1393881,28019,2.010142903160313
Brazil,Distrito Federal,849300,11835,1.3935005298481102
Brazil,Espirito Santo,1230316,14843,1.20643802080116
Brazil,Goias,1741257,27609,1.585578694012429
Brazil,Maranhao,478710,11002,2.298259906832947
Brazil,Mato Grosso,834095,14963,1.7939203567938904
Brazil,Mato Grosso do Sul,583685,10848,1.8585367107258195
Brazil,Minas Gerais,3901375,63943,1.6389862548460479
Brazil,Para,850419,18912,2.2238449517237973
Brazil,Paraiba,663830,10427,1.5707334709187593
Brazil,Parana,2767205,45486,1.6437524505773877
Brazil,Pernambuco,1078773,22460,2.0819950072906903
Brazil,Piaui,405311,7964,1.964910895583885
Brazil,Rio Grande do Norte,559810,8487,1.5160500884228578
Brazil,Rio Grande do Sul,2759582,41244,1.4945741782632298
Brazil,Rio de Janeiro,2609193,76023,2.9136595108142633
Brazil,Rondonia,458659,7364,1.605550092770446
Brazil,Roraima,177522,2176,1.2257635673324996
Brazil,Santa Catarina,1897131,22440,1.1828387180431925
Brazil,Sao Paulo,6182046,176102,2.84860384409951
Brazil,Sergipe,345022,6445,1.867996823390972
Brazil,Tocantins,345317,4208,1.2185904545678319
Brunei,,253406,225,0.0887903206711759
Bulgaria,,1286305,38022,2.9559085908862985
Burkina Faso,,21631,387,1.7890989783181546
Burma,,633118,19488,3.07809918530195
Burundi,,50778,38,0.07483555870652644
Cabo Verde,,62892,412,0.6550912675698022
Cambodia,,138046,3056,2.2137548353447403
Cameroon,,123993,1965,1.5847668820014034
Canada,Alberta,618030,5177,0.8376616021875961
Canada,British Columbia,389479,4642,1.1918485977421118
Canada,Diamond Princess,0,1,
Canada,Grand Princess,13,0,0.0
Canada,Manitoba,152072,2256,1.4835078120890104
Canada,New Brunswick,81787,603,0.7372809859757663
Canada,Newfoundland and Labrador,53150,268,0.504233301975541
Canada,Northwest Territories,11511,22,0.1911215359221614
Canada,Nova Scotia,131825,628,0.4763891522852266
Canada,Nunavut,3531,7,0.19824412347776835
Canada,Ontario,1531052,15176,0.991213884309612
Canada,Prince Edward Island,54257,74,0.13638793151114142
Canada,Quebec,1247245,17302,1.3872174272095699
Canada,Repatriated Travellers,13,0,0.0
Canada,Saskatchewan,148288,1662,1.120791972378075
Canada,Yukon,4989,32,0.6414111044297455
Central African Republic,,15311,113,0.7380314806348377
